country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
,,12624548,,0,15,4.04E+17,
,,12624549,,0,5,3.63E+17,
,,12624548,,0,15,5.67E+18,
US,4/3/17,12624549,4.68E+18,0.99,19,1.86E+18,GAMES
,,12624548,,0,10,1.62E+19,
,,12624548,,0,16,1.12E+19,
,,12624548,,0,10,1.17E+19,
,,12624549,,0,18,4.43E+18,
,,12624549,,0,20,1.69E+19,
US,4/5/17,12624549,2.51E+17,2.99,20,2.93E+18,GAMES
US,4/6/17,12624549,1.07E+18,4.99,20,2.93E+18,GAMES
US,4/4/17,12624549,1.76E+19,2.99,20,2.93E+18,GAMES
US,4/4/17,12624549,1.13E+19,2.99,20,2.93E+18,GAMES
,,12624549,,0,14,2.60E+17,
,,12624549,,0,19,2.68E+18,
,,12624549,,0,3,1.53E+19,
,,12624548,,0,6,1.70E+19,
,,12624548,,0,6,9.46E+18,
JP,4/1/17,12624549,1.78E+19,87.867103,18,3.70E+18,GAMES
,,12624549,,0,1,1.07E+19,
,,12624549,,0,2,1.04E+19,
,,12624549,,0,12,1.32E+19,
,,12624548,,0,18,1.33E+18,
,,12624549,,0,8,3.76E+18,
,,12624549,,0,18,1.10E+19,
,,12624549,,0,15,8.63E+18,
,,12624549,,0,18,1.83E+19,
,,12624549,,0,10,1.79E+19,
GB,4/7/17,12624549,2.46E+18,8.046041,20,1.09E+18,GAMES
GB,4/7/17,12624549,4.08E+18,16.104479,20,1.09E+18,GAMES
,,12624548,,0,12,1.42E+19,
,,12624548,,0,2,6.25E+18,
